stars	fullName	description
311	AlexKontorovich/PrimeNumberTheoremAnd	Blueprint for the PNT+ Project
96	emilyriehl/infinity-cosmos	A blueprint for a formalization of infinity-cosmos theory in Lean.
62	leanprover-community/flt-regular	Fermat's Last Theorem for regular primes
49	hanwenzhu/LeanArchitect	LeanArchitect extracts a blueprint directly from Lean source.
15	leanprover/verso-blueprint	Build structured Proof Blueprints with Verso
14	kbuzzard/ClassFieldTheory	Github repository for the 2025 Clay Summer School on Formalizing Class Field Theory
10	ykonstant1/InfinitePrimes	A proof of the infinitude of primes in Lean 4 from first principles
10	b-mehta/PrimeCert	Formal prime certificates in Lean 4
9	ImperialCollegeLondon/tcc-lean-alg-geom-2022	Experiments in algebraic geometry as part of the EPSRC Taught Course Centre course on formalising number theory and geometry
9	ImperialCollegeLondon/diophantine	Solving Diophantine equations in Lean
9	AxiomMath/ramanujan-tau-misses-primes	Lean formalizations for the paper "ABC implies that Ramanujan's Tau function misses almost all primes"
6	wupr/order-p-q	Lean formalisation of the classification of the groups of order `p * q` where `p` and `q` are prime numbers.
6	mariainesdff/LocalClassFieldTheory	Formalization of local fields, and eventually LCFT 
6	laughinggas/p-adic-L-functions	Describes formalization of p-adic L-functions in Lean 3
5	utensil/LeanBlueprintExample	
5	mariainesdff/local_class_field_theory	Formalization of local fields, and eventually LCFT
5	AxiomMath/partial-regularity	Lean formalizations for the paper "Almost all primes are partially regular"
4	NeilStrickland/lean_primes	Proof in Lean that there are infinitely many primes
4	ikelax/algebraic-complexity	A blueprint for a formalization of Algebraic Complexity in Lean. 
4	daira/CompElliptic	Computable elliptic-curve abstractions for Lean 4
4	CBirkbeck/ModularForms_Lean4	
3	tangentstorm/leansieve	A formally verified prime number sieve in Lean4.
3	lean-forward/class-group-and-mordell-equation	Formalized Class Group Computations and Integral Points on Mordell Elliptic Curves
3	kkaunda/spgf	Structure in Prime Gaps - Formalized
3	KisaraBlue/ec-tate-lean	Elliptic curve algorithm verification project built on mathib4
3	cymcymcymcym/Unique_Factorization_Lean4	A lean 4 proof of unique prime factorization in well-ordered rings, starting from ring axioms.
3	amosturchet/diophantine_approx	Lean project for Diophantine Approximation
2	thefundamentaltheor3m/Groups_of_ord_psq	Proof in Lean that all groups of order p² (p prime) are abelian.
2	schmittj/balanced-vectors-blueprint	Lean Blueprint for technical lemma on maxima and minimal of certain log-concave functions
2	rwbarton/lean-elementary-number-theory	Ancient Lean proof of FLT for n=4
2	riccardobrasca/KummerCriterion	Proof of Kummer's criterion for regularity of a prime in Lean
2	QDU-Math-in-lean/elementary-number-theory	elementary number theory
2	pitmonticone/QuadraticIntegers	Formalising the Ring of Integers in Quadratic Fields in the Lean proof assistant.
2	LeastAuthority/WHIR	SC: Ethereum - zk(E)VM Verification - WHIR Lean Blueprint
2	kckennylau/EllipticCurve	Towards a general definition of elliptic curve over schemes
2	GhostDriftTheory/adic-lean-proof-replay	
